,CH1
Second,Volt
-3.98000e-05,1.84e-01, 
-3.88000e-05,1.92e-01, 
-3.78000e-05,1.36e-01, 
-3.68000e-05,1.60e-01, 
-3.58000e-05,1.20e-01, 
-3.48000e-05,1.44e-01, 
-3.38000e-05,1.12e-01, 
-3.28000e-05,1.28e-01, 
-3.18000e-05,2.24e-01, 
-3.08000e-05,2.24e-01, 
-2.98000e-05,2.64e-01, 
-2.88000e-05,2.56e-01, 
-2.78000e-05,2.24e-01, 
-2.68000e-05,2.40e-01, 
-2.58000e-05,1.92e-01, 
-2.48000e-05,1.76e-01, 
-2.38000e-05,2.08e-01, 
-2.28000e-05,1.92e-01, 
-2.18000e-05,2.80e-01, 
-2.08000e-05,2.72e-01, 
-1.98000e-05,3.28e-01, 
-1.88000e-05,3.04e-01, 
-1.78000e-05,2.80e-01, 
-1.68000e-05,3.04e-01, 
-1.58000e-05,2.48e-01, 
-1.48000e-05,2.56e-01, 
-1.38000e-05,2.24e-01, 
-1.28000e-05,2.40e-01, 
-1.18000e-05,3.12e-01, 
-1.08000e-05,3.12e-01, 
-9.80000e-06,3.60e-01, 
-8.80000e-06,3.36e-01, 
-7.80000e-06,3.12e-01, 
-6.80000e-06,3.12e-01, 
-5.80000e-06,2.88e-01, 
-4.80000e-06,2.72e-01, 
-3.80000e-06,2.56e-01, 
-2.80000e-06,2.72e-01, 
-1.80000e-06,3.12e-01, 
-8.00000e-07,3.12e-01, 
2.00000e-07,3.52e-01, 
1.20000e-06,3.52e-01, 
2.20000e-06,3.12e-01, 
3.20000e-06,3.12e-01, 
4.20000e-06,2.80e-01, 
5.20000e-06,2.96e-01, 
6.20000e-06,2.56e-01, 
7.20000e-06,2.64e-01, 
8.20000e-06,3.04e-01, 
9.20000e-06,3.12e-01, 
1.02000e-05,2.88e-01, 
1.12000e-05,3.12e-01, 
1.22000e-05,2.80e-01, 
1.32000e-05,2.80e-01, 
1.42000e-05,2.56e-01, 
1.52000e-05,2.64e-01, 
1.62000e-05,2.32e-01, 
1.72000e-05,2.48e-01, 
1.82000e-05,2.32e-01, 
1.92000e-05,2.40e-01, 
2.02000e-05,2.56e-01, 
2.12000e-05,2.48e-01, 
2.22000e-05,2.16e-01, 
2.32000e-05,2.32e-01, 
2.42000e-05,2.00e-01, 
2.52000e-05,2.16e-01, 
2.62000e-05,1.84e-01, 
2.72000e-05,2.16e-01, 
2.82000e-05,1.68e-01, 
2.92000e-05,1.68e-01, 
3.02000e-05,1.44e-01, 
3.12000e-05,1.60e-01, 
3.22000e-05,1.36e-01, 
3.32000e-05,1.60e-01, 
3.42000e-05,1.20e-01, 
3.52000e-05,1.36e-01, 
3.62000e-05,1.12e-01, 
3.72000e-05,1.36e-01, 
3.82000e-05,8.00e-02, 
3.92000e-05,8.00e-02, 
4.02000e-05,3.20e-02, 
4.12000e-05,5.60e-02, 
4.22000e-05,4.00e-02, 
4.32000e-05,2.40e-02, 
4.42000e-05,5.60e-02, 
4.52000e-05,4.00e-02, 
4.62000e-05,6.40e-02, 
4.72000e-05,4.00e-02, 
4.82000e-05,-1.60e-02, 
4.92000e-05,-2.40e-02, 
5.02000e-05,-7.20e-02, 
5.12000e-05,-6.40e-02, 
5.22000e-05,-4.00e-02, 
5.32000e-05,-3.20e-02, 
5.42000e-05,-7.20e-02, 
5.52000e-05,-4.80e-02, 
5.62000e-05,-2.40e-02, 
5.72000e-05,-4.80e-02, 
5.82000e-05,-1.28e-01, 
5.92000e-05,-1.20e-01, 
6.02000e-05,-1.60e-01, 
6.12000e-05,-1.44e-01, 
6.22000e-05,-1.68e-01, 
6.32000e-05,-1.44e-01, 
6.42000e-05,-1.20e-01, 
6.52000e-05,-1.44e-01, 
6.62000e-05,-1.04e-01, 
6.72000e-05,-1.12e-01, 
6.82000e-05,-2.00e-01, 
6.92000e-05,-2.08e-01, 
7.02000e-05,-2.64e-01, 
7.12000e-05,-2.40e-01, 
7.22000e-05,-2.16e-01, 
